"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Quincy Acy","PF",24,"NYK",68,1287,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,0.0,1,0.7,1.7,0.063,0.0,-2.3,-0.8,-3.1,-0.3
"2","Jordan Adams","SG",20,"MEM",30,248,12.8,0.489,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0.0,0,0.4,0.4,0.073,0.0,-1.8,1.2,-0.6,0.1
"3","Steven Adams","C",21,"OKC",70,1771,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,0.0,1.9,2.2,4.1,0.111,0.0,-1.4,1.8,0.4,1.1
"4","Jeff Adrien","PF",28,"MIN",17,215,14.2,0.494,0,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0.0,0.2,0.2,0.4,0.087,0.0,-2.7,0.5,-2.2,0
"5","Arron Afflalo","SG",29,"DEN",53,1750,11.7,0.533,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,0.0,1.4,0.4,1.8,0.05,0.0,0,-1.6,-1.6,0.2
"6","Arron Afflalo","SG",29,"POR",25,752,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.0,0.2,0.5,0.8,0.049,0.0,-1.5,-0.8,-2.3,-0.1
"7","Alexis Ajinca","C",26,"NOP",68,957,19.9,0.595,0,0.301,12.4,25,18.7,8.2,1.2,4,15.6,21.1,0.0,1.9,1.2,3.2,0.159,0.0,-0.5,0.6,0.2,0.5
"8","Furkan Aldemir","PF",23,"PHI",41,540,12,0.517,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0.0,0.7,0.7,1.4,0.122,0.0,-2.7,2,-0.7,0.2
"9","Cole Aldrich","C",26,"NYK",61,976,18.1,0.513,0,0.213,11.6,28.9,20,13.3,2,5.5,15.2,18.3,0.0,0.8,1.4,2.2,0.107,0.0,-2.2,3.1,0.9,0.7
"10","LaMarcus Aldridge","PF",29,"POR",71,2512,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,0.0,4.9,3.7,8.6,0.165,0.0,0.3,0,0.3,1.4
"11","Lavoy Allen","C",25,"IND",63,1070,14.9,0.493,0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,0.0,1.3,1.6,2.8,0.127,0.0,-1.4,2.2,0.8,0.8
"12","Tony Allen","SG",33,"MEM",63,1648,14.6,0.528,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,0.0,0.9,3.2,4.1,0.119,0.0,-0.4,3.7,3.3,2.2
"13","Al-Farouq Aminu","SF",24,"DAL",74,1366,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,0.0,1.2,2,3.3,0.115,0.0,-0.5,2.9,2.4,1.5
"14","Lou Amundson","PF",32,"CLE",12,79,3.8,0.387,0,0.417,7.4,21.5,14.5,8.7,0.7,0,26,11,0.0,-0.1,0.1,0,-0.011,0.0,-6.2,-0.1,-6.3,-0.1
"15","Lou Amundson","PF",32,"NYK",41,858,12.5,0.444,0.004,0.337,11.6,22,16.7,12.6,1.3,5,17,18,0.0,-0.5,0.8,0.4,0.02,0.0,-3.8,2.2,-1.6,0.1
"16","Chris Andersen","C",36,"MIA",60,1132,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,0.0,2.1,1.5,3.6,0.151,0.0,-1.2,2.3,1,0.9
"17","Alan Anderson","SG",32,"BRK",74,1744,10.6,0.563,0.477,0.23,2,11.1,6.6,7.2,1.7,0.2,11,14.2,0.0,1.7,1.1,2.7,0.075,0.0,0,-0.5,-0.5,0.6
