"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Jeff Adrien","PF",24,"GSW",23,196,11.3,0.457,0,0.352,13,20.7,16.8,7.3,1,1.9,12.6,16.1,NA,0.1,0.1,0.2,0.051,NA,-3.9,-1.2,-5.1,-0.2
"2","Arron Afflalo","SG",25,"DEN",69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,NA,4.8,1.4,6.2,0.128,NA,2.4,-0.2,2.1,2.4
"3","Maurice Ager","SG",26,"MIN",4,29,10.1,0.682,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,NA,0,0,0,-0.015,NA,-2.7,-3.6,-6.3,0
"4","Alexis Ajinca","C",22,"DAL",10,75,12.8,0.435,0.219,0.094,8.1,18,13.3,4.3,2.1,5.1,2.9,21.4,NA,0,0.1,0.1,0.084,NA,-3.6,1.5,-2.1,0
"5","Alexis Ajinca","C",22,"TOR",24,265,12,0.53,0.267,0.149,5.2,22.5,13.6,4.9,1.6,4,13.6,21.1,NA,0,0.2,0.2,0.042,NA,-2.9,-0.8,-3.8,-0.1
"6","Solomon Alabi","C",22,"TOR",12,59,2,0.189,0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,NA,-0.2,0,-0.2,-0.142,NA,-8.2,0,-8.2,-0.1
"7","Cole Aldrich","C",22,"OKC",18,142,7,0.537,0,0.267,11.1,17.5,14.4,4,1.8,3.6,32.3,7.9,NA,0,0.2,0.2,0.066,NA,-3.4,2.6,-0.8,0
"8","LaMarcus Aldridge","PF",25,"POR",81,3211,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,NA,7.6,3.5,11.1,0.166,NA,1.9,0.5,2.4,3.5
"9","Malik Allen","PF",32,"ORL",18,178,3.3,0.361,0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,NA,-0.1,0.2,0.2,0.046,NA,-5.3,1.4,-3.9,-0.1
"10","Ray Allen","SG",35,"BOS",80,2890,16.4,0.615,0.387,0.224,2.3,9,5.8,12.7,1.4,0.4,9.8,19.8,NA,5.8,4.2,10,0.166,NA,3.2,0.4,3.6,4.1
"11","Tony Allen","SG",29,"MEM",72,1494,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,NA,2,2.7,4.7,0.152,NA,0.7,2.9,3.6,2.1
"12","Al-Farouq Aminu","SF",20,"LAC",81,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,NA,-0.8,1.4,0.7,0.022,NA,-3.1,0.1,-3,-0.4
"13","Lou Amundson","PF",28,"GSW",46,691,11.5,0.452,0,0.475,13,17.4,15.2,3.5,1,3.6,9.8,15.7,NA,0.2,0.5,0.6,0.044,NA,-4,-0.9,-4.9,-0.5
"14","Chris Andersen","C",32,"DEN",45,732,19,0.636,0.007,0.985,12.2,22.1,17.3,4,1.6,6,11.3,13.5,NA,1.9,1.2,3.2,0.207,NA,0.2,3.1,3.3,1
"15","David Andersen","PF",30,"TOR",11,150,13.8,0.559,0.213,0.149,6.2,21.1,13.4,7.3,1,1.5,13.8,17.3,NA,0.1,0.1,0.2,0.063,NA,-1.7,-1.6,-3.3,0
"16","David Andersen","PF",30,"NOH",29,223,8.9,0.484,0.176,0.203,6.5,20.9,13.6,4.5,0.5,2.2,14.8,20.2,NA,-0.2,0.3,0.1,0.012,NA,-5.4,-1.2,-6.6,-0.3
"17","James Anderson","SF",21,"SAS",26,286,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,NA,0.1,0.2,0.3,0.051,NA,-1.9,-1.5,-3.4,-0.1
"18","Ryan Anderson","PF",22,"ORL",64,1424,19,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,NA,4,2.5,6.4,0.216,NA,4.1,0.2,4.4,2.3
"19","Carmelo Anthony","SF",26,"DEN",50,1774,21.2,0.547,0.13,0.431,5.2,19.3,12.4,14.3,1.2,1.3,11,32.5,NA,2.8,1.9,4.7,0.127,NA,0.9,-0.8,0.2,1
"20","Carmelo Anthony","SF",26,"NYK",27,977,22.8,0.575,0.233,0.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31,NA,2.6,0.6,3.2,0.157,NA,3.5,-2.3,1.2,0.8
"21","Joel Anthony","C",28,"MIA",75,1463,7.3,0.583,0,0.737,9,12.4,10.8,2.2,0.4,5,21.5,5.3,NA,1.2,2.1,3.3,0.107,NA,-2.2,3.1,0.9,1.1
"22","Gilbert Arenas","PG",29,"WAS",21,726,14,0.505,0.439,0.203,0.9,10.4,5.5,27.5,2.1,1.3,16.5,26.2,NA,0,0.4,0.4,0.025,NA,1.2,-1.7,-0.6,0.3
"23","Gilbert Arenas","PG",29,"ORL",49,1070,8.6,0.444,0.45,0.213,1.8,11,6.5,23.8,2.2,0.7,19.3,23.7,NA,-1.6,1.7,0.2,0.007,NA,-2.8,0.8,-2.1,0
"24","Trevor Ariza","SF",25,"NOH",75,2600,11.3,0.487,0.356,0.259,2.8,16.4,9.5,10,2.5,1,12.2,17.7,NA,-0.4,3.8,3.4,0.062,NA,-1.2,2.3,1.1,2
"25","Hilton Armstrong","C",26,"WAS",41,412,8.6,0.519,0.047,0.359,10.4,21.5,15.8,3.5,1.9,3,25.2,10.6,NA,-0.1,0.4,0.4,0.043,NA,-4.5,1.2,-3.4,-0.1
"26","Hilton Armstrong","C",26,"ATL",12,76,10.1,0.457,0.083,0.833,4.8,22,13.5,7.8,2.1,5,15.5,12.1,NA,-0.1,0.1,0.1,0.054,NA,-5.5,3.5,-2,0
"27","Carlos Arroyo","PG",31,"MIA",49,995,9.5,0.541,0.269,0.147,1.6,7.5,4.8,15.3,0.7,0.1,14.5,13.9,NA,0.8,0.9,1.6,0.078,NA,-1.5,-1.5,-3,-0.2
"28","Carlos Arroyo","PG",31,"BOS",15,190,6.7,0.447,0.143,0.343,4.8,9.8,7.4,18.6,2,0,29.7,14.5,NA,-0.2,0.3,0.1,0.016,NA,-5.1,1.3,-3.8,-0.1
"29","Darrell Arthur","PF",22,"MEM",80,1609,15.7,0.534,0.01,0.215,8.5,17,12.7,5.4,1.7,3.2,11.4,21.6,NA,1.5,2.2,3.8,0.113,NA,-1.6,0.3,-1.3,0.3
"30","Omer Asik","C",24,"CHI",82,989,11.8,0.559,0,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,NA,0.5,2.2,2.7,0.13,NA,-3.5,3,-0.5,0.4
"31","D.J. Augustin","PG",23,"CHA",82,2757,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1,0.1,12.5,21.2,NA,4.9,1.3,6.2,0.108,NA,2.4,-2.8,-0.3,1.1
"32","Luke Babbitt","SF",21,"POR",24,137,1,0.305,0.291,0.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,NA,-0.6,0.1,-0.4,-0.143,NA,-9.6,-2.5,-12,-0.3
"33","Renaldo Balkman","SF",26,"DEN",5,44,12.8,0.604,0,0.444,2.7,7.6,5.2,6.6,3.4,3.4,0,10.9,NA,0.1,0.1,0.2,0.182,NA,0,2.7,2.7,0.1
"34","Renaldo Balkman","SF",26,"NYK",3,18,0.7,0.375,0.5,0,6.3,12.8,9.5,0,2.8,0,20,12.3,NA,0,0,0,-0.05,NA,-6.6,-3.1,-9.6,0
"35","Marcus Banks","PG",29,"TOR",3,22,6.8,0.543,0,4,0,5.5,2.7,17.2,2.3,0,26.6,15.3,NA,0,0,0,0.011,NA,-5,-2.8,-7.8,0
"36","Leandro Barbosa","SG",28,"TOR",58,1395,15.3,0.539,0.326,0.21,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,NA,1.4,0.1,1.5,0.052,NA,1.4,-3.5,-2.1,0
