"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"374","Kendrick Perkins","C",27,"OKC",65,1744,8.7,0.528,0,0.427,8.4,18.8,13.9,6.4,0.7,3,27.5,11.1,0.0,0,2.1,2,0.056,0.0,-2.7,2.1,-0.6,0.6
"375","Johan Petro","C",26,"NJN",59,920,10.3,0.452,0.004,0.142,8.3,20.3,14.1,8.2,1.2,1.9,12.1,15.6,0.0,0.1,0.6,0.7,0.034,0.0,-4,-0.3,-4.3,-0.5
"376","Paul Pierce","SF",34,"BOS",61,2075,19.6,0.567,0.307,0.387,2.2,15.2,9,24.3,1.8,1,14.2,28.1,0.0,3.3,3.7,7,0.161,0.0,3.3,1.1,4.4,3.4
"377","Mickael Pietrus","SG",29,"BOS",42,921,8.5,0.509,0.674,0.115,2.4,13.7,8.3,4.4,1.2,0.8,10.4,16.5,0.0,-0.2,1.4,1.2,0.063,0.0,-1.4,-0.3,-1.6,0.1
"378","Dexter Pittman","C",23,"MIA",35,301,10.4,0.498,0,0.298,11.1,16.8,14.1,4.9,1.4,2.2,13.8,19,0.0,0.1,0.5,0.6,0.101,0.0,-3.4,-0.6,-4,-0.2
"379","Quincy Pondexter","SF",23,"MEM",64,1002,9.4,0.517,0.305,0.222,6.3,8.5,7.3,4.1,1.4,0.4,10.3,13.2,0.0,0.9,0.9,1.7,0.082,0.0,-1.1,-0.8,-1.9,0
"380","A.J. Price","PG",25,"IND",44,568,11.5,0.454,0.506,0.201,2.6,9.4,6,23.9,1.9,0.3,14.5,17.7,0.0,0.2,0.5,0.7,0.063,0.0,-0.2,-1.7,-1.9,0
"381","Ronnie Price","PG",28,"PHO",36,517,8.4,0.465,0.338,0.192,4,8.2,6.1,18.7,3.4,0.4,24.6,16.4,0.0,-0.4,0.5,0.1,0.008,0.0,-2.2,1.2,-1,0.1
"382","Tayshaun Prince","SF",31,"DET",63,2087,12.8,0.47,0.13,0.144,4,12.4,8,13.2,0.7,1.2,8,20.4,0.0,1.2,0.9,2.1,0.048,0.0,-1,-1.3,-2.2,-0.1
"383","Joel Przybilla","C",32,"POR",27,449,6,0.492,0,0.375,7.4,28.9,17.9,1.9,0.5,2.8,28.2,7.9,0.0,-0.2,0.5,0.3,0.034,0.0,-6.1,0.8,-5.3,-0.4
"384","Vladimir Radmanovic","SF",31,"ATL",49,755,11.7,0.524,0.685,0.147,5.3,16.8,11.1,10.9,1.5,1.5,14.3,15.2,0.0,0.5,1.1,1.6,0.103,0.0,-0.3,0.6,0.3,0.4
"385","Anthony Randolph","PF",22,"MIN",34,517,17.6,0.532,0.005,0.42,9,17.5,13.2,6.6,1.3,4.8,14.4,23.8,0.0,0.5,0.6,1.1,0.099,0.0,-2.6,1,-1.5,0.1
"386","Zach Randolph","PF",30,"MEM",28,735,17.9,0.5,0.028,0.309,12.1,23.9,17.9,11.2,1.5,0.4,11,22.4,0.0,1,1.1,2.1,0.135,0.0,-0.1,0.1,0.1,0.4
"387","Michael Redd","SG",32,"PHO",51,770,13.9,0.511,0.367,0.308,2.1,9.1,5.6,7.1,0.9,0,8.3,26.3,0.0,0.6,0.2,0.8,0.052,0.0,-0.2,-4,-4.2,-0.4
"388","J.J. Redick","SG",27,"ORL",65,1765,15.1,0.575,0.459,0.269,1.2,8.8,4.9,16.2,0.8,0.3,9.4,19.2,0.0,4.2,1,5.2,0.142,0.0,2.2,-1.9,0.3,1
"389","Ryan Reid","PF",25,"OKC",5,17,17.6,0.8,0,0,7.2,6.3,6.7,0,0,0,16.7,16,0.0,0,0,0.1,0.142,0.0,0.5,-6,-5.5,0
"390","Jason Richardson","SG",31,"ORL",54,1591,13.3,0.502,0.465,0.116,2.6,11.6,7,12,1.8,1.1,8.7,20.2,0.0,1.2,1.6,2.8,0.084,0.0,0.6,0,0.6,1
"391","Quentin Richardson","SF",31,"ORL",48,866,8.7,0.511,0.614,0.152,2,14.6,8.2,7,1.7,0.5,12.1,13,0.0,0.4,0.9,1.3,0.07,0.0,-1.6,0.4,-1.2,0.2
"392","Luke Ridnour","SG",30,"MIN",53,1750,13.6,0.53,0.276,0.216,1.2,7.8,4.5,24,1.6,0.7,13.7,17.8,0.0,2.4,0.9,3.3,0.09,0.0,0.9,-0.6,0.3,1
"393","Nate Robinson","PG",27,"GSW",51,1192,18,0.534,0.374,0.233,1.4,8.1,4.8,31.8,2.6,0.1,12.3,23.6,0.0,2.4,0.4,2.8,0.111,0.0,2.9,-2.9,0,0.6
"394","Rajon Rondo","PG",25,"BOS",53,1957,17.5,0.483,0.073,0.316,3.9,11.2,7.7,52.5,2.6,0.1,22.8,20.7,0.0,1.5,3.4,4.9,0.121,0.0,0.6,0.7,1.3,1.6
"395","Derrick Rose","PG",23,"CHI",39,1375,23,0.532,0.249,0.344,2.1,8.4,5.3,40.3,1.4,1.4,12.9,30.5,0.0,4.1,2,6,0.211,0.0,5.5,-0.6,4.9,2.4
"396","Ricky Rubio","PG",21,"MIN",41,1404,14.6,0.476,0.242,0.404,1.6,11.9,6.7,37.4,3.3,0.4,22.2,18.7,0.0,0.5,1.5,2,0.07,0.0,-0.2,1.1,0.9,1
"397","Brandon Rush","SF",26,"GSW",65,1717,15.2,0.628,0.467,0.175,2.2,14.4,8.3,7.9,1.1,2.6,11.9,15.4,0.0,2.9,0.6,3.5,0.099,0.0,1.1,-0.4,0.7,1.2
"398","Walker Russell","PG",29,"DET",28,357,7.2,0.401,0.137,0.232,2.3,6.6,4.4,26,2.7,0.2,24,17.8,0.0,-0.6,0.3,-0.4,-0.049,0.0,-5,-1.8,-6.8,-0.4
"399","John Salmons","SF",32,"SAC",46,1250,9,0.471,0.325,0.13,1.7,10.5,5.9,11.1,1.5,0.4,11,14.2,0.0,0.3,0.1,0.4,0.014,0.0,-1.7,-1.2,-2.9,-0.3
"400","Samardo Samuels","C",23,"CLE",54,825,11.1,0.517,0,0.506,8.4,16.8,12.4,4.2,1.3,1.8,16.5,18.4,0.0,0.2,0.5,0.7,0.039,0.0,-4.1,-1.4,-5.4,-0.7
"401","Larry Sanders","PF",23,"MIL",52,643,13.3,0.463,0.011,0.207,10.3,17.3,13.7,7.8,2.5,8.9,17.6,16.7,0.0,-0.3,1.2,1,0.072,0.0,-3.9,5.3,1.5,0.6
"402","Brian Scalabrine","PF",33,"CHI",28,122,13.5,0.49,0.233,0.2,7.5,11.7,9.6,18.7,2.2,3.5,21.6,15.5,0.0,0,0.2,0.3,0.108,0.0,-2,2.9,0.9,0.1
"403","Luis Scola","PF",31,"HOU",66,2067,15.4,0.526,0.003,0.223,6.8,17.3,12,12,0.9,0.9,13.6,24.8,0.0,1.8,1.6,3.4,0.08,0.0,-1,-0.4,-1.4,0.3
"404","Thabo Sefolosha","SG",27,"OKC",42,914,9.8,0.584,0.458,0.277,2.8,12.5,8,7.4,2.1,1.4,18.7,10.6,0.0,0.8,1,1.8,0.095,0.0,-0.4,1.3,0.9,0.7
"405","Josh Selby","PG",20,"MEM",28,237,3.3,0.403,0.208,0.194,1,6.5,3.7,19.3,1.6,0,27.1,20.5,0.0,-0.7,0.2,-0.5,-0.105,0.0,-7.4,-2.4,-9.8,-0.5
"406","Kevin Seraphin","C",22,"WAS",57,1176,15.8,0.549,0.003,0.183,9.8,17.1,13.4,4.8,0.8,5,13.8,18.2,0.0,1.2,1.1,2.3,0.094,0.0,-1.8,0.5,-1.3,0.2
"407","Ramon Sessions","PG",25,"CLE",41,1006,16.4,0.514,0.175,0.415,2.1,12.7,7.2,37.1,1.4,0.1,16.4,22.4,0.0,1.5,0.3,1.8,0.085,0.0,0.7,-2.5,-1.8,0.1
"408","Ramon Sessions","PG",25,"LAL",23,701,17.3,0.57,0.166,0.479,2.3,11.1,6.9,33.1,1.3,0.2,18.8,20.5,0.0,1.4,0.5,1.9,0.131,0.0,1.3,-1.3,0,0.3
"409","Iman Shumpert","PG",21,"NYK",59,1705,10.8,0.484,0.294,0.204,2.8,9.9,6.3,15.6,3.1,0.4,16,18.2,0.0,-0.1,2.5,2.4,0.068,0.0,-1.3,1.4,0.1,0.9
"410","Xavier Silas","SG",24,"PHI",2,39,0.1,0.337,0.4,0.2,5.7,5.7,5.7,11.4,0,0,15.5,23.3,0.0,-0.1,0,-0.1,-0.131,0.0,-6.8,-3.7,-10.5,-0.1
"411","Bobby Simmons","SF",31,"LAC",28,418,6,0.43,0.667,0.078,4.8,10.9,7.8,3.8,1.9,0.6,9.7,11.4,0.0,0,0.3,0.3,0.029,0.0,-2.1,-0.4,-2.5,-0.1
"412","Chris Singleton","SF",22,"WAS",66,1431,8.3,0.462,0.407,0.141,3.4,15.1,9.2,5,2.5,1.6,10.3,11.5,0.0,0.1,1.5,1.5,0.052,0.0,-2.2,1.2,-1,0.4
"413","James Singleton","PF",30,"WAS",12,262,19.6,0.6,0.12,0.2,10.7,24.3,17.4,9.5,1.8,2.3,10.9,15.6,0.0,0.7,0.3,1,0.186,0.0,1.3,1,2.3,0.3
"414","Brian Skinner","C",35,"MEM",1,4,-14.6,0,0,0,0,0,0,0,0,0,0,11.3,0.0,0,0,0,-0.248,0.0,-13.2,-2.9,-16.1,0
"415","Donald Sloan","PG",24,"ATL",5,20,11.6,0.375,0.125,0,5.9,23.3,14.7,41.6,2.7,0,20,23.5,0.0,0,0,0,0.012,0.0,-3.5,1.5,-2,0
"416","Donald Sloan","PG",24,"NOH",3,41,8,0.381,0.143,0.286,5.9,2.9,4.4,32.5,2.7,0,24.1,23.9,0.0,-0.1,0,-0.1,-0.104,0.0,-5.1,-2.7,-7.8,-0.1
"417","Donald Sloan","PG",24,"CLE",25,608,8.9,0.44,0.125,0.148,2.7,8.6,5.5,25.6,0.9,0.4,18.3,17,0.0,-0.3,0,-0.3,-0.02,0.0,-3.4,-2.6,-6,-0.6
"418","Craig Smith","PF",28,"POR",47,464,13.6,0.556,0.009,0.453,8.1,19.8,13.8,6.6,1.8,0.8,14.6,16.2,0.0,0.6,0.4,1,0.105,0.0,-2.2,-0.4,-2.6,-0.1
"419","Greg Smith","C",21,"HOU",8,69,12.3,0.636,0,0,8.3,25.5,16.8,2.2,1.5,5.4,8.3,7.9,0.0,0.1,0.1,0.2,0.165,0.0,-2.5,2.6,0.1,0
"420","Ish Smith","PG",23,"GSW",6,63,16.7,0.437,0.167,0.067,3.6,12.6,8.1,24.2,3.3,0,3.1,23.3,0.0,0,0,0.1,0.069,0.0,0.1,-1.7,-1.6,0
"421","Ish Smith","PG",23,"ORL",20,171,13.1,0.413,0.078,0.157,3.3,14.4,8.8,31.1,3.5,0.9,18,18.2,0.0,0,0.3,0.2,0.06,0.0,-3.3,1.6,-1.7,0
"422","J.R. Smith","SG",26,"NYK",35,967,15.2,0.508,0.477,0.136,3.4,12.9,8.1,15.2,2.9,0.5,9.7,22,0.0,1,1.5,2.5,0.122,0.0,1.8,0.5,2.3,1
"423","Jason Smith","PF",25,"NOH",40,947,16.6,0.537,0.026,0.135,9.2,15.3,12.3,6.8,1.2,3.6,9.8,20.4,0.0,1.2,1,2.2,0.11,0.0,-0.6,0.5,-0.1,0.5
"424","Jerry Smith","PG",24,"NJN",5,46,7.8,0.25,0.429,0,4.9,13,8.8,13.4,5.8,0,0,13.9,0.0,-0.1,0.1,0,-0.007,0.0,-3.4,1.7,-1.7,0
"425","Josh Smith","PF",26,"ATL",66,2329,21.1,0.499,0.099,0.292,6.9,24.8,15.9,20.6,2.1,3.8,11.7,28.4,0.0,1.9,4.9,6.8,0.139,0.0,0.3,3.7,4.1,3.5
"426","Nolan Smith","PG",23,"POR",44,541,7.8,0.434,0.25,0.156,3.6,8.6,6,18.2,1.8,0.4,17.9,19.8,0.0,-0.6,0.3,-0.3,-0.029,0.0,-3.7,-1.7,-5.4,-0.5
"427","Marreese Speights","PF",24,"MEM",60,1345,14.1,0.491,0.006,0.223,11.3,21.4,16.2,6,0.8,1.8,12.1,20.5,0.0,0.9,1.7,2.7,0.096,0.0,-2.4,-0.5,-2.9,-0.3
"428","Tiago Splitter","C",27,"SAS",59,1121,20.5,0.649,0,0.528,9.7,21.4,15.7,9.2,1,3,17.1,20.7,0.0,3,1.6,4.6,0.197,0.0,1.1,1.4,2.5,1.3
"429","Jerry Stackhouse","SF",37,"ATL",30,273,11.5,0.49,0.38,0.23,2.6,7.2,4.9,8.3,1.9,0.8,10.6,21.2,0.0,0,0.3,0.3,0.06,0.0,-2.3,-2,-4.2,-0.2
"430","Lance Stephenson","SG",21,"IND",42,442,7,0.4,0.24,0.136,3.1,10.4,6.7,16.5,2.5,0.9,21.4,17.3,0.0,-0.8,0.5,-0.3,-0.031,0.0,-4.4,0.2,-4.2,-0.3
"431","DeShawn Stevenson","SF",30,"NJN",51,960,4.3,0.413,0.843,0.093,0.8,11.7,6.1,6.5,1.1,0.3,9.6,9.4,0.0,-0.3,0.1,-0.3,-0.014,0.0,-3.1,-1.4,-4.5,-0.6
"432","Greg Stiemsma","C",26,"BOS",55,766,13.6,0.579,0,0.339,7.7,19,13.6,5.6,2.6,8.5,19.2,10.8,0.0,0.6,2.2,2.7,0.17,0.0,-3,7.5,4.5,1.2
"433","Julyan Stone","SG",23,"DEN",22,179,13,0.502,0.355,0.355,3.4,12.6,8.1,28.3,2.3,2.6,23.5,11.7,0.0,0.2,0.2,0.4,0.101,0.0,-1.1,0.9,-0.2,0.1
"434","Amar'e Stoudemire","PF",29,"NYK",47,1543,17.7,0.541,0.032,0.372,7.9,19.8,13.7,6.3,1.3,2.3,12.8,25.4,0.0,1.8,2.3,4.1,0.128,0.0,-1.5,0.1,-1.4,0.2
"435","Rodney Stuckey","SG",25,"DET",55,1644,17.6,0.55,0.174,0.536,2.7,7.8,5.2,22.7,1.4,0.5,12.6,23.7,0.0,3.8,0.7,4.5,0.131,0.0,2.2,-2.4,-0.2,0.8
"436","DaJuan Summers","SF",24,"NOH",15,209,9,0.493,0.246,0.138,4.6,8.4,6.6,8.1,1.8,0,10.4,17.4,0.0,0.1,0.1,0.2,0.049,0.0,-1.8,-1.7,-3.4,-0.1
"437","Jeff Teague","PG",23,"ATL",66,2183,15.8,0.551,0.222,0.275,1.1,7.4,4.3,24.3,2.6,1.3,15.1,19.1,0.0,3,3,6,0.131,0.0,0.7,0.4,1.2,1.7
"438","Sebastian Telfair","PG",26,"PHO",60,895,13.2,0.495,0.307,0.196,2.5,8.9,5.7,24.5,2.4,1,15.5,22.3,0.0,0.4,0.7,1.1,0.058,0.0,0,-0.6,-0.5,0.3
"439","Jason Terry","SG",34,"DAL",63,2000,15.7,0.54,0.44,0.134,0.9,7.4,4.2,19.9,1.9,0.4,12.6,23.3,0.0,2,1.8,3.8,0.092,0.0,2,-1.1,0.9,1.5
"440","Hasheem Thabeet","C",24,"HOU",5,23,16.4,1,0,0,5,30.6,17.7,0,0,6.5,0,5.9,0.0,0.1,0,0.1,0.228,0.0,-2,-1,-3,0
"441","Hasheem Thabeet","C",24,"POR",15,116,11.6,0.541,0,1.111,14.8,20.5,17.6,0,0.5,5.3,23,13.7,0.0,0.1,0.1,0.2,0.077,0.0,-5.7,-2.3,-8,-0.2
"442","Isaiah Thomas","PG",22,"SAC",65,1656,17.6,0.574,0.384,0.324,3,8.4,5.6,25.6,1.6,0.4,13.9,19.8,0.0,4.2,0,4.3,0.124,0.0,3.2,-2.7,0.5,1.1
"443","Kurt Thomas","C",39,"POR",53,803,9.5,0.483,0,0.127,5.5,22.1,13.7,8.7,1.6,3,15.8,11.2,0.0,0.2,0.9,1.1,0.067,0.0,-3.7,2.4,-1.3,0.1
"444","Lance Thomas","PF",23,"NOH",42,630,10.1,0.541,0.008,0.492,9.4,14.3,11.9,3,0.9,0.9,13.5,13.3,0.0,0.7,0.4,1.2,0.088,0.0,-2.5,-1.1,-3.6,-0.3
"445","Malcolm Thomas","PF",23,"SAS",3,15,7.1,0.129,0,0.667,7.8,15,11.5,8.1,3.4,4.8,0,11.8,0.0,0,0,0,-0.028,0.0,-7.1,5,-2.1,0
"446","Tyrus Thomas","PF",25,"CHA",54,1013,9,0.418,0.009,0.254,5.4,17.7,11.3,6,1.9,4.4,12.7,19,0.0,-1.5,0.8,-0.6,-0.029,0.0,-6.2,0.8,-5.4,-0.9
"447","Trey Thompkins","C",21,"LAC",24,119,12,0.445,0.213,0.115,4,20.2,12,4.5,1.4,2.1,8.6,27.2,0.0,-0.1,0.1,0,0.004,0.0,-5.5,-3.3,-8.9,-0.2
"448","Jason Thompson","PF",25,"SAC",64,1657,16.4,0.558,0.005,0.409,10.5,19.3,14.7,7.5,1.3,1.9,11.5,15.5,0.0,3.1,0.8,3.9,0.114,0.0,0.1,0.1,0.1,0.9
"449","Klay Thompson","SG",21,"GSW",66,1608,14.9,0.545,0.373,0.127,1.7,9.6,5.7,14.2,1.6,1,12,24.7,0.0,1.4,0.3,1.7,0.05,0.0,0.9,-2.8,-1.9,0.1
"450","Mychel Thompson","SG",23,"CLE",5,95,2.2,0.375,0.458,0,0,6.2,3,11.6,1.1,0.8,17.2,13.7,0.0,-0.2,0,-0.2,-0.079,0.0,-5.9,-2.5,-8.3,-0.2
"451","Tristan Thompson","PF",20,"CLE",60,1424,13.3,0.469,0.005,0.434,14.4,16.8,15.5,3.3,1,3.3,13.3,19.2,0.0,0.3,0.9,1.1,0.038,0.0,-3.2,-1,-4.2,-0.8
"452","Marcus Thornton","SG",24,"SAC",51,1780,17.4,0.544,0.386,0.203,4.9,6.7,5.8,9.4,2,0.5,8.8,23.4,0.0,3.7,0.1,3.8,0.103,0.0,3.4,-2.5,1,1.3
"453","Jamaal Tinsley","PG",33,"UTA",37,507,10.9,0.461,0.262,0.121,1.3,8.9,5.1,36.3,1.8,1.3,25.9,17.8,0.0,-0.2,0.3,0.1,0.006,0.0,-2.6,-2.2,-4.8,-0.4
"454","Anthony Tolliver","SF",26,"MIN",51,882,8.3,0.504,0.555,0.302,6.2,13,9.6,3.8,1,1.5,14.5,12.2,0.0,0.3,0.6,0.9,0.049,0.0,-1.7,0.2,-1.5,0.1
"455","Ronny Turiaf","C",29,"WAS",4,58,10.8,1,0,0,1.9,21.6,11.7,12.2,5.4,4,66.7,6.9,0.0,-0.1,0.1,0.1,0.057,0.0,-4,6.2,2.3,0.1
"456","Ronny Turiaf","C",29,"MIA",13,221,12.6,0.567,0.033,0.733,10.7,20.3,15.7,3.3,1.9,5.1,16.8,10,0.0,0.3,0.5,0.7,0.158,0.0,-2,3.3,1.2,0.2
