"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Quincy Acy","PF",22,"TOR",29,342,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,0.0,0.7,0.4,1.1,0.157,0.0,-0.6,1.3,0.7,0.2
"2","Jeff Adrien","PF",26,"CHA",52,713,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.0,0.5,0.4,1,0.064,0.0,-3,-0.2,-3.3,-0.2
"3","Arron Afflalo","SF",27,"ORL",64,2307,13,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,0.0,1.5,0.5,2,0.042,0.0,-0.3,-2,-2.3,-0.2
"4","Josh Akognon","PG",26,"DAL",3,9,15.3,0.625,0.5,0,0,12.1,6.2,19.4,0,0,0,20.3,0.0,0,0,0,0.196,0.0,4.7,-4.9,-0.2,0
"5","Cole Aldrich","C",24,"HOU",30,213,7.3,0.532,0,0.209,6.5,23.7,15.2,4.1,0.7,3.2,23,12.5,0.0,-0.1,0.3,0.2,0.038,0.0,-5.7,1,-4.8,-0.1
"6","Cole Aldrich","C",24,"SAC",15,175,15.7,0.598,0,0.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,0.0,0.2,0.2,0.4,0.109,0.0,-3.6,0.5,-3.1,-0.1
"7","LaMarcus Aldridge","PF",27,"POR",74,2790,20.4,0.53,0.011,0.264,7.2,20.9,14,13,1.2,2.5,8.9,26.5,0.0,4.8,2.3,7.2,0.124,0.0,0.3,0.5,0.8,2
"8","Lavoy Allen","C",23,"PHI",79,1669,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.0,0.9,1.6,2.5,0.072,0.0,-3.2,0.6,-2.6,-0.3
"9","Ray Allen","SG",37,"MIA",79,2035,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,0.0,3.4,1.9,5.4,0.126,0.0,1.7,-1.5,0.2,1.1
"10","Tony Allen","SG",31,"MEM",79,2109,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,0.0,1,4.1,5.1,0.115,0.0,-1.6,2.9,1.3,1.8
"11","Al-Farouq Aminu","SF",22,"NOH",76,2066,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.0,0.7,2.4,3.1,0.073,0.0,-2,2.4,0.4,1.3
