"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Shareef Abdur-Rahim","C",30,"SAC",80,2015,13.1,0.524,0.031,0.358,7,16.4,11.6,9.2,1.3,1.5,13.3,19.5,0.0,1.1,1.7,2.8,0.067,0.0,-2.1,0,-2.1,-0.1
"2","Hassan Adams","SG",22,"NJN",61,495,13,0.577,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.0,0.5,0.5,1,0.095,0.0,-2.4,-1.2,-3.6,-0.2
"3","Maurice Ager","SG",22,"DAL",32,214,2.9,0.408,0.214,0.471,0.6,11,5.9,5,1,1.1,15.1,21.7,0.0,-0.5,0.2,-0.3,-0.06,0.0,-7.5,-1.8,-9.3,-0.4
"4","LaMarcus Aldridge","C",21,"POR",63,1392,17.1,0.533,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,0.0,2.5,1,3.4,0.118,0.0,-0.3,-0.6,-0.9,0.4
"5","Malik Allen","PF",28,"CHI",60,638,10.4,0.443,0.004,0.132,7.6,13.7,10.6,4.2,1.4,2,7.1,20.5,0.0,-0.2,1.1,1,0.073,0.0,-4.9,-0.3,-5.2,-0.5
"6","Ray Allen","SG",31,"SEA",55,2219,21.6,0.564,0.384,0.268,3.1,10.4,6.7,19,1.9,0.4,10.7,29.5,0.0,5.4,0.9,6.3,0.136,0.0,5.4,-2.1,3.4,3
"7","Tony Allen","SG",25,"BOS",33,805,17,0.596,0.127,0.517,5.1,13.6,9.2,12.5,3.2,1.2,19.1,22.1,0.0,0.8,1.1,1.9,0.111,0.0,0,1.1,1.1,0.6
"8","Rafer Alston","PG",30,"HOU",82,3040,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,0.0,1.7,4.9,6.6,0.104,0.0,0.4,0.9,1.3,2.5
"9","Lou Amundson","PF",24,"UTA",1,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,-0.004,0.0,-5.3,0.2,-5.1,0
"10","Lou Amundson","PF",24,"PHI",10,87,9.8,0.412,0,0.667,18,20.6,19.3,1.7,0.6,7.1,20.5,13,0.0,-0.1,0.1,0.1,0.04,0.0,-5.5,1.4,-4.1,0
"11","Alan Anderson","SG",24,"CHA",17,256,10.1,0.538,0.247,0.284,4.9,10,7.4,13.8,1.4,0,19.4,20.1,0.0,0,0.1,0.1,0.024,0.0,-2.2,-1.8,-4,-0.1
"12","Derek Anderson","SF",32,"CHA",50,1190,13.7,0.586,0.517,0.361,2.8,8.6,5.6,17.6,2.3,0.5,14.1,15.1,0.0,2,0.9,2.9,0.117,0.0,1.5,-0.4,1,0.9
"13","Carmelo Anthony","SF",22,"DEN",65,2486,22.1,0.552,0.103,0.391,6.6,11.1,8.9,19.2,1.5,0.7,12.1,33.4,0.0,5.2,2.1,7.3,0.14,0.0,3.1,-1.1,2,2.5
"14","Rafael Araujo","C",26,"UTA",28,248,8.3,0.463,0,0.446,10.8,21.5,16.2,6.1,1.3,0.7,17.9,17.1,0.0,-0.1,0.3,0.1,0.027,0.0,-4.5,-0.7,-5.2,-0.2
"15","Gilbert Arenas","PG",25,"WAS",74,2942,24,0.565,0.377,0.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,0.0,9.3,1.5,10.8,0.177,0.0,7,-2,5,5.2
"16","Trevor Ariza","SG",21,"ORL",57,1278,16.2,0.567,0.019,0.461,9.7,14.2,12,8.9,2.5,1.2,15.8,19.2,0.0,1.5,1.9,3.4,0.128,0.0,0.2,1.2,1.5,1.1
"17","Darrell Armstrong","PG",38,"IND",81,1275,15.1,0.547,0.568,0.247,3,9.3,6.1,24.8,2.9,0.4,15.4,17.4,0.0,1.7,1.5,3.2,0.121,0.0,1.7,-0.6,1.1,1
"18","Hilton Armstrong","C",22,"NOK",56,634,12.2,0.57,0,0.536,10.3,17,13.6,2.5,1,3.3,18.5,13.6,0.0,0.5,0.7,1.2,0.091,0.0,-3.1,0.5,-2.6,-0.1
"19","Carlos Arroyo","PG",27,"ORL",72,1304,14.4,0.501,0.107,0.347,3,9.5,6.3,27.1,1.6,0.1,14,22.8,0.0,1.2,1.3,2.5,0.094,0.0,-0.4,-1.6,-2,0
"20","Chucky Atkins","PG",32,"MEM",75,2064,17.4,0.58,0.428,0.435,1,7,4,27.9,1.2,0.1,13,21.4,0.0,5.1,-0.2,4.9,0.114,0.0,3.5,-4.1,-0.6,0.7
"21","James Augustine","PF",22,"ORL",2,7,16.6,0.333,0,0,18,34.4,26.4,48.9,0,0,0,19.9,0.0,0,0,0,0.168,0.0,3.3,1.8,5,0
"22","Kelenna Azubuike","SG",23,"GSW",41,669,13.4,0.572,0.359,0.355,4.2,11.4,7.7,6.2,1.6,1.1,13.3,18.7,0.0,0.7,0.5,1.2,0.083,0.0,-1.1,-1.6,-2.7,-0.1
"23","Renaldo Balkman","SF",22,"NYK",68,1064,16.1,0.531,0.098,0.327,11,21.8,16.4,7,2.8,3.3,13.5,15.5,0.0,1.1,1.7,2.8,0.125,0.0,-1,2.4,1.4,0.9
"24","Marcus Banks","PG",25,"PHO",45,503,11.3,0.497,0.148,0.306,2.4,6.2,4.4,17.4,2.3,0.4,15.2,23.5,0.0,-0.1,0.4,0.4,0.037,0.0,-2.8,-1.3,-4.1,-0.3
"25","Leandro Barbosa","SG",24,"PHO",80,2613,18.4,0.595,0.394,0.209,1,8.1,4.8,18.7,1.8,0.4,10.7,23.4,0.0,6.1,2.1,8.2,0.151,0.0,3.8,-0.9,2.9,3.2
"26","J.J. Barea","PG",22,"DAL",33,191,9.6,0.44,0.269,0.308,4.5,11.1,7.9,20.4,0.3,0.4,13.7,25,0.0,-0.1,0.2,0.1,0.015,0.0,-2.8,-2.6,-5.4,-0.2
"27","Andrea Bargnani","PF",21,"TOR",65,1629,12.8,0.546,0.429,0.227,3.7,14.8,9.2,5.1,1,2.5,13.5,22.6,0.0,0.2,1.7,1.9,0.057,0.0,-1.1,-0.7,-1.7,0.1
"28","Matt Barnes","PF",26,"GSW",76,1813,14.7,0.547,0.462,0.196,5.4,16,10.6,12.8,1.9,1.7,13.3,18.5,0.0,1.9,1.8,3.7,0.099,0.0,0.5,0.3,0.9,1.3
"29","Andre Barrett","PG",24,"CHI",6,29,8.2,0.5,0,0,4,15.6,9.8,38.2,0,0,33.3,18.4,0.0,0,0,0,0.014,0.0,-5.6,-1.6,-7.1,0
"30","Earl Barron","C",25,"MIA",28,203,6.6,0.357,0.012,0.217,11.3,12.5,11.9,4,1.6,1.6,10.8,23.8,0.0,-0.5,0.2,-0.3,-0.062,0.0,-8.1,-2.3,-10.4,-0.4
"31","Brent Barry","SG",35,"SAS",75,1631,16.6,0.666,0.675,0.275,1.3,10.2,5.9,13.3,1.8,0.5,11.3,15.6,0.0,4.2,2.6,6.8,0.201,0.0,3.5,0.4,3.9,2.4
"32","Brandon Bass","PF",21,"NOK",21,162,7.2,0.411,0.023,0.364,9.1,21.9,15.3,2.8,0.7,1.5,16.4,17.2,0.0,-0.2,0.2,0,-0.011,0.0,-7.2,-1.5,-8.7,-0.3
"33","Maceo Baston","PF",31,"IND",47,405,13.7,0.714,0.092,0.618,5.9,15.4,10.6,6.5,1.5,3.4,24.9,14.2,0.0,0.5,0.5,1.1,0.127,0.0,-1.9,1.4,-0.6,0.1
"34","Esteban Batista","PF",23,"ATL",13,81,12.5,0.524,0,0.438,10.3,34.6,22.3,8.1,2,0,17.3,13.1,0.0,0,0.1,0.2,0.101,0.0,-3.8,-0.1,-4,0
"35","Tony Battie","PF",30,"ORL",66,1575,9.8,0.513,0.003,0.214,7.4,19.3,13.5,3.6,1,1.5,13.4,13.4,0.0,0.6,2.1,2.7,0.081,0.0,-2.9,0.6,-2.3,-0.1
"36","Shane Battier","SF",28,"HOU",82,2988,12,0.589,0.57,0.173,2.6,10.4,6.5,9.2,1.4,1.5,9.3,12.1,0.0,4.4,4.6,9,0.144,0.0,0.8,2.5,3.3,4
"37","Charlie Bell","SG",27,"MIL",82,2848,13.1,0.53,0.371,0.172,2.3,7.6,4.9,13.6,1.8,0.1,9,18.3,0.0,3.6,0.4,4,0.068,0.0,1.2,-1.9,-0.7,1
"38","Raja Bell","SG",30,"PHO",78,2917,12,0.562,0.522,0.16,2,7.7,5,9.5,0.9,0.5,7.5,17,0.0,4.2,1.6,5.8,0.095,0.0,2.3,-0.5,1.8,2.8
"39","Mike Bibby","PG",28,"SAC",82,2784,16,0.532,0.413,0.298,1.6,9.6,5.5,24.3,1.6,0.2,13,24.5,0.0,2.9,1.5,4.4,0.076,0.0,2.1,-2,0.1,1.4
"40","Andris Biedrins","C",20,"GSW",82,2382,16.2,0.598,0,0.287,11.3,24,17.5,5.4,1.4,4.3,15.4,13.8,0.0,3.5,3.3,6.7,0.136,0.0,-1.1,2.5,1.4,2.1
"41","Chauncey Billups","PG",30,"DET",70,2533,21.3,0.591,0.388,0.536,1.1,10,5.6,32.9,1.8,0.5,12.2,21.5,0.0,8.7,2.7,11.4,0.216,0.0,5.4,-0.9,4.4,4.1
"42","Steve Blake","PG",26,"MIL",33,583,6.8,0.435,0.527,0.155,1.4,7.8,4.5,20.3,0.9,0.4,16.9,12.8,0.0,-0.1,0,-0.1,-0.008,0.0,-2.8,-3,-5.8,-0.6
"43","Steve Blake","PG",26,"DEN",49,1642,11,0.511,0.368,0.116,1,7.4,4.3,28.2,1.5,0.2,20.2,13.1,0.0,1.1,1.1,2.2,0.064,0.0,-0.9,-1.3,-2.1,-0.1
"44","Will Blalock","PG",23,"DET",14,166,4.5,0.383,0.167,0.2,4.3,6.4,5.4,14.9,1.7,0,26.9,12.8,0.0,-0.3,0.1,-0.1,-0.032,0.0,-5.4,-0.2,-5.7,-0.2
"45","Andray Blatche","PF",20,"WAS",56,682,12.1,0.471,0.137,0.249,12.6,19.8,16.1,8.8,1.3,3.6,18.3,17.2,0.0,-0.1,0.5,0.5,0.033,0.0,-2.8,0.4,-2.4,-0.1
"46","Mark Blount","C",31,"MIN",82,2544,12.7,0.546,0.037,0.232,6.6,16.9,11.9,4.5,0.9,1.8,14.7,19.8,0.0,0.6,2.2,2.8,0.052,0.0,-2.7,-0.5,-3.2,-0.8
"47","Keith Bogans","SG",26,"ORL",59,990,9.2,0.546,0.559,0.257,2,9.4,5.8,9.5,1.5,0.2,14.4,14.9,0.0,0.7,1,1.7,0.08,0.0,-0.4,-1,-1.3,0.2
"48","Andrew Bogut","C",22,"MIL",66,2258,15.5,0.566,0.008,0.308,8.7,21.9,15.2,13.9,1.1,1.2,17.4,17.3,0.0,2.6,1.4,4,0.085,0.0,-0.1,0.7,0.5,1.4
"49","Matt Bonner","PF",26,"SAS",56,653,16.4,0.542,0.397,0.16,12.3,16.4,14.4,5.7,1.4,1.2,9,20.3,0.0,1.1,1.2,2.2,0.163,0.0,1,-0.6,0.4,0.4
"50","Josh Boone","PF",22,"NJN",61,669,14.6,0.587,0,0.602,11.4,19.6,15.5,2.6,0.9,2.5,13.2,17.4,0.0,0.9,0.8,1.7,0.122,0.0,-3,-1.4,-4.4,-0.4
"51","Calvin Booth","C",30,"WAS",44,380,9.6,0.49,0.03,0.152,7.9,16.8,12.3,6.8,0.5,5.9,11.3,9.2,0.0,0.3,0.3,0.6,0.072,0.0,-3.2,1.8,-1.4,0.1
"52","Carlos Boozer","PF",25,"UTA",74,2557,24.1,0.588,0,0.322,11.2,29.9,20.6,16.6,1.4,0.7,12.8,26.5,0.0,6.5,3.4,9.9,0.185,0.0,3.4,1.2,4.6,4.3
"53","Chris Bosh","C",22,"TOR",69,2658,22.6,0.577,0.032,0.539,8.1,24.8,16.4,11.7,0.8,2.6,11.7,26.7,0.0,6.1,3.5,9.6,0.174,0.0,1.3,1.3,2.6,3.1
"54","Bruce Bowen","SF",35,"SAS",82,2464,7.1,0.511,0.497,0.156,1.2,9.4,5.5,7,1.3,0.7,11.5,10.9,0.0,0.4,3.6,4.1,0.079,0.0,-1.4,1.9,0.5,1.5
"55","Earl Boykins","PG",30,"DEN",31,877,17.7,0.542,0.291,0.347,3,5.1,4,24.2,1.4,0.2,10.7,23.8,0.0,2,0.5,2.5,0.134,0.0,2.3,-2.8,-0.5,0.3
