Team,Tm,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,GSW,67,15,.817,10.10,112.18,101.86,10.32,10.01,111.90,101.67,10.23
Los Angeles Clippers,LAC,56,26,.683,6.59,113.21,106.22,6.98,6.80,113.35,106.14,7.21
San Antonio Spurs,SAS,55,27,.671,6.20,109.25,102.61,6.64,6.34,109.09,102.30,6.79
Atlanta Hawks,ATL,60,22,.732,5.43,110.00,103.98,6.02,4.75,109.85,104.56,5.29
Portland Trail Blazers,POR,51,31,.622,4.23,108.81,104.30,4.50,4.41,108.72,104.03,4.69
Cleveland Cavaliers,CLE,53,29,.646,4.48,111.93,107.13,4.80,4.08,111.97,107.58,4.39
Houston Rockets,HOU,56,26,.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01
Memphis Grizzlies,MEM,55,27,.671,3.24,106.44,102.90,3.55,3.62,106.35,102.41,3.94
Dallas Mavericks,DAL,50,32,.610,2.90,110.30,107.14,3.16,3.36,110.51,106.87,3.64
Chicago Bulls,CHI,50,32,.610,3.00,108.48,105.11,3.37,2.54,108.42,105.53,2.88
Toronto Raptors,TOR,49,33,.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72
Oklahoma City Thunder,OKC,45,37,.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54
New Orleans Pelicans,NOP,45,37,.549,0.79,108.95,108.15,0.80,1.13,109.04,107.88,1.16
Utah Jazz,UTA,38,44,.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79
Washington Wizards,WAS,46,36,.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25
Indiana Pacers,IND,38,44,.463,0.28,104.44,104.04,0.40,-0.22,104.34,104.48,-0.14
Milwaukee Bucks,MIL,41,41,.500,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16
Phoenix Suns,PHO,39,43,.476,-0.90,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37
Boston Celtics,BOS,40,42,.488,0.16,105.32,105.17,0.15,-0.40,105.14,105.58,-0.44
Detroit Pistons,DET,32,50,.390,-1.00,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54
Denver Nuggets,DEN,30,52,.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07
Sacramento Kings,SAC,29,53,.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27
Brooklyn Nets,BRK,38,44,.463,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31
Miami Heat,MIA,37,45,.451,-2.60,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37
Charlotte Hornets,CHO,33,49,.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79
Orlando Magic,ORL,25,57,.305,-5.72,102.26,108.34,-6.07,-5.87,102.30,108.54,-6.23
Los Angeles Lakers,LAL,21,61,.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.90,-6.65
Minnesota Timberwolves,MIN,16,66,.195,-8.79,103.63,112.98,-9.36,-8.00,103.98,112.50,-8.52
Philadelphia 76ers,PHI,18,64,.220,-8.98,96.40,105.70,-9.31,-9.04,96.30,105.67,-9.38
New York Knicks,NYK,17,65,.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.30


