"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Quincy Acy","SF",23,"TOR",7,61,17.2,0.542,0.357,0.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,0.0,0.1,0.1,0.2,0.188,0.0,0.5,3.7,4.1,0.1
"2","Quincy Acy","SF",23,"SAC",56,786,9.6,0.518,0.079,0.354,9.5,19.5,14.4,4.4,1.2,2.4,16,9.8,0.0,0.5,0.7,1.3,0.078,0.0,-2.8,1.2,-1.5,0.1
"3","Steven Adams","C",20,"OKC",81,1197,11.2,0.541,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.0,0.9,1.9,2.9,0.114,0.0,-2.1,2.4,0.3,0.7
"4","Jeff Adrien","PF",27,"CHA",25,256,14.9,0.559,0,0.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.0,0.4,0.5,0.9,0.17,0.0,-2.5,2.9,0.4,0.2
"5","Jeff Adrien","PF",27,"MIL",28,705,18.4,0.552,0,0.4,10.9,25,17.7,7.7,1.3,2.4,10.1,19.7,0.0,1.2,0.6,1.8,0.121,0.0,-0.9,-0.7,-1.6,0.1
"6","Arron Afflalo","SG",28,"ORL",73,2552,16,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,0.0,4.3,1,5.3,0.099,0.0,1.7,-2.3,-0.6,0.9
"7","Alexis Ajinca","C",25,"NOP",56,951,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,0.0,1.2,0.9,2.1,0.104,0.0,-1.5,0.8,-0.7,0.3
"8","Cole Aldrich","C",25,"NYK",46,330,19.1,0.62,0,0.492,12.8,33.8,23,6.4,1.3,8.1,19.5,13,0.0,0.6,0.6,1.2,0.178,0.0,-2.6,3.8,1.2,0.3
"9","LaMarcus Aldridge","PF",28,"POR",69,2498,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,0.0,4,3.5,7.5,0.144,0.0,-0.4,0.7,0.3,1.5
"10","Lavoy Allen","PF",24,"PHI",51,960,11.9,0.464,0.049,0.15,11.5,20,15.6,10.2,1.1,2.2,12.4,14.3,0.0,0.4,0.7,1.1,0.053,0.0,-3.3,0.1,-3.2,-0.3
"11","Lavoy Allen","PF",24,"IND",14,112,17.5,0.521,0,0.294,13.7,20.1,17.1,9,0.9,4.1,9.4,17.3,0.0,0.2,0.2,0.4,0.18,0.0,-1.7,2.2,0.4,0.1
"12","Ray Allen","SG",38,"MIA",73,1936,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,0.0,2.5,1.5,4.1,0.101,0.0,1.3,-1.2,0.1,1
"13","Tony Allen","SG",32,"MEM",55,1278,15.6,0.531,0.114,0.293,7.3,12,9.6,11.7,3.8,1.2,16.2,20.1,0.0,0.5,2.1,2.7,0.1,0.0,-0.1,2.4,2.3,1.4
"14","Al-Farouq Aminu","SF",23,"NOP",80,2045,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,0.0,1.3,1.8,3.1,0.072,0.0,-1.4,1,-0.3,0.9
"15","Lou Amundson","PF",31,"NOP",18,184,9.2,0.446,0,0.75,17.4,17.3,17.4,4.7,2.5,5,24.8,14,0.0,-0.1,0.2,0.1,0.024,0.0,-3.4,2.1,-1.3,0
"16","Lou Amundson","PF",31,"CHI",1,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.029,0.0,-7.3,1,-6.3,0
"17","Chris Andersen","C",35,"MIA",72,1396,18.5,0.683,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,0.0,3.8,2.2,6,0.205,0.0,0.1,1.5,1.6,1.3
"18","Alan Anderson","SF",31,"BRK",78,1773,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.0,0.8,0.9,1.7,0.047,0.0,-0.8,-1.4,-2.2,-0.1
"19","James Anderson","SG",24,"PHI",80,2309,10.9,0.53,0.49,0.148,2.7,11.7,7,9.9,1.6,1,12.2,15.9,0.0,0.9,0.9,1.9,0.039,0.0,-1.2,-1.3,-2.5,-0.3
"20","Ryan Anderson","PF",25,"NOP",22,795,18.8,0.572,0.463,0.175,9.5,11.3,10.4,3.6,0.7,0.7,5,22.9,0.0,2.2,0.1,2.3,0.138,0.0,4.3,-4.5,-0.1,0.4
"21","Giannis Antetokounmpo","SF",19,"MIL",77,1897,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15,0.0,0.1,1.1,1.2,0.031,0.0,-2.5,0.7,-1.8,0.1
"22","Carmelo Anthony","PF",29,"NYK",77,2982,24.4,0.561,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,0.0,8.1,2.5,10.7,0.172,0.0,4.6,-1,3.6,4.2
"23","Joel Anthony","C",31,"MIA",12,37,8,0.436,0,0.333,7.1,16.4,11.9,0,0,9.4,12.7,10.2,0.0,0,0,0,0.049,0.0,-7.3,0.8,-6.6,0
"24","Joel Anthony","C",31,"BOS",21,149,8.1,0.384,0,0.231,9.6,14.1,11.8,1.9,1,4.1,6.5,9.1,0.0,0,0.1,0.1,0.043,0.0,-5.3,1.1,-4.2,-0.1
"25","Pero Antic","PF",31,"ATL",50,925,11.7,0.545,0.582,0.224,7.2,18.9,13.1,9.8,1,1,14.5,18.6,0.0,0.5,0.9,1.4,0.075,0.0,-0.5,-0.9,-1.4,0.1
"26","Trevor Ariza","SF",28,"WAS",77,2723,15.8,0.59,0.518,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,0.0,4.3,3.7,8,0.141,0.0,2.3,1.1,3.4,3.6
"27","Hilton Armstrong","C",29,"GSW",15,97,17,0.48,0,0.842,21.8,31,26.5,7.1,2.1,3.1,18.7,14.5,0.0,0.1,0.2,0.3,0.162,0.0,-2.5,3.1,0.6,0.1
"28","Darrell Arthur","SF",25,"DEN",68,1161,9.4,0.459,0.156,0.151,4.8,14.7,9.8,8,1.6,3,11.7,18.1,0.0,-0.5,1.2,0.7,0.029,0.0,-3.8,1,-2.8,-0.2
"29","Omer Asik","C",27,"HOU",48,968,14,0.57,0,0.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,0.0,1,1.5,2.4,0.121,0.0,-3.1,0.7,-2.4,-0.1
"30","D.J. Augustin","PG",26,"TOR",10,82,1.2,0.394,0.458,0.25,0,5.7,2.8,18.4,0.6,0,25.3,19.8,0.0,-0.2,0,-0.2,-0.112,0.0,-7.4,-3.7,-11.2,-0.2
"31","D.J. Augustin","PG",26,"CHI",61,1857,16.8,0.574,0.463,0.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,0.0,4,2.4,6.4,0.166,0.0,3.1,-2.1,1,1.4
"32","Gustavo Ayon","C",28,"ATL",26,429,12.9,0.505,0,0.196,11.4,22.3,16.9,10,3,1.8,20.7,14.8,0.0,0,0.7,0.7,0.078,0.0,-3.2,3,-0.2,0.2
"33","Jeff Ayres","PF",26,"SAS",73,952,11.1,0.605,0,0.316,11,19.2,15.3,8.6,0.7,1.9,24.1,12.4,0.0,1,1.4,2.4,0.121,0.0,-1.6,2.1,0.5,0.6
"34","Chris Babb","SG",23,"BOS",14,132,3.7,0.367,0.9,0,3.3,11.5,7.3,3.3,2.3,0,9.1,11.1,0.0,-0.1,0.1,0,-0.008,0.0,-3.7,-0.7,-4.4,-0.1
"35","Luke Babbitt","PF",24,"NOP",27,473,12.1,0.525,0.617,0.117,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17,0.0,0.5,0.2,0.7,0.074,0.0,0.5,-1.9,-1.4,0.1
"36","Leandro Barbosa","PG",31,"PHO",20,368,11.5,0.506,0.191,0.298,1.5,9.7,5.6,13.4,1,0.8,11.4,20,0.0,0.2,0.2,0.4,0.058,0.0,-2.2,-1.8,-3.9,-0.2
"37","J.J. Barea","PG",29,"MIN",79,1471,11.6,0.471,0.352,0.152,1.2,10.5,5.7,32.7,0.9,0,15.2,23.9,0.0,-0.1,0.9,0.7,0.024,0.0,-0.9,-2.7,-3.6,-0.6
"38","Andrea Bargnani","C",28,"NYK",42,1257,14.5,0.51,0.215,0.203,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,0.0,0.8,0.7,1.5,0.058,0.0,-1.4,-1,-2.4,-0.1
"39","Harrison Barnes","SF",21,"GSW",78,2204,9.8,0.486,0.28,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10,16.8,0.0,0.4,2.8,3.2,0.07,0.0,-2.3,0.9,-1.4,0.3
"40","Matt Barnes","SF",33,"LAC",63,1735,12,0.552,0.537,0.171,4,14.4,9.3,10.6,1.6,1.2,13,16.6,0.0,1.5,2,3.5,0.097,0.0,0.7,0.8,1.5,1.5
"41","Will Barton","SG",23,"POR",41,387,13.5,0.488,0.212,0.205,4.5,16,10.3,13.3,1.2,1.3,9.6,21.2,0.0,0.3,0.4,0.6,0.078,0.0,-1.9,-0.7,-2.7,-0.1
"42","Brandon Bass","PF",28,"BOS",82,2266,15,0.549,0.008,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,0.0,3.2,1.9,5.1,0.107,0.0,-1.3,0.2,-1.2,0.5
"43","Shane Battier","SF",35,"MIA",73,1468,8.7,0.523,0.764,0.084,3,8.6,5.9,6,1.8,2.3,6.9,10,0.0,1,1.4,2.4,0.078,0.0,0.1,0.7,0.8,1.1
"44","Nicolas Batum","SF",25,"POR",82,2956,15.8,0.589,0.491,0.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,0.0,4.8,3.1,7.9,0.128,0.0,2.4,1.8,4.2,4.6
"45","Jerryd Bayless","PG",25,"MEM",31,650,11.3,0.473,0.347,0.238,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,0.0,0.4,0.6,1,0.077,0.0,-0.6,-1.3,-2,0
"46","Jerryd Bayless","PG",25,"BOS",41,1036,12.5,0.514,0.341,0.161,1.5,8.1,4.7,20.4,2,0.3,12.9,19.9,0.0,0.7,0.7,1.4,0.064,0.0,-0.2,-1.5,-1.7,0.1
"47","Aron Baynes","C",27,"SAS",53,491,9.7,0.467,0,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,0.0,-0.1,0.6,0.6,0.055,0.0,-3.7,-0.3,-4,-0.2
"48","Kent Bazemore","SG",24,"GSW",44,268,6.2,0.448,0.402,0.371,2.1,14,8.1,10.9,2.2,1.7,19.9,23.1,0.0,-0.6,0.4,-0.2,-0.034,0.0,-6.1,0.3,-5.7,-0.3
"49","Kent Bazemore","SG",24,"LAL",23,643,13.3,0.543,0.362,0.297,0.8,12,6.4,17.7,2.3,0.8,15.5,22.3,0.0,0,0.4,0.4,0.029,0.0,-0.5,-0.7,-1.2,0.1
"50","Bradley Beal","SG",20,"WAS",73,2530,14.3,0.507,0.299,0.164,2.4,10.2,6.3,16,1.4,0.6,9.4,24.3,0.0,1.6,2.4,4,0.076,0.0,0.2,-1.3,-1.1,0.5
"51","Michael Beasley","SF",25,"MIA",55,831,16.8,0.559,0.152,0.223,4.9,20.5,13,8.8,1.5,2.2,12.8,25.7,0.0,0.5,1.1,1.6,0.092,0.0,-2.2,-1.2,-3.5,-0.3
"52","Marco Belinelli","SF",27,"SAS",80,2016,15,0.605,0.422,0.188,1,11.2,6.3,13.2,1.3,0.3,11.2,19,0.0,3.5,2.4,5.9,0.14,0.0,1.9,-0.3,1.7,1.9
"53","Anthony Bennett","PF",20,"CLE",52,663,6.9,0.425,0.236,0.307,8.1,18.4,13.1,4,1.6,1,15.5,20.3,0.0,-1.1,0.7,-0.4,-0.028,0.0,-5.8,-1.5,-7.3,-0.9
"54","Patrick Beverley","PG",25,"HOU",56,1751,12.4,0.545,0.53,0.212,4.9,7.4,6.2,12.8,2.2,1,11.2,14.8,0.0,2.7,1.6,4.2,0.116,0.0,1.9,0.6,2.5,2
"55","Andris Biedrins","C",27,"UTA",6,45,2.4,0.412,0,6,5,39.7,21.8,0,0,0,35.5,5.7,0.0,-0.1,0,0,-0.033,0.0,-10.7,-4.3,-15,-0.1
"56","Chauncey Billups","SG",37,"DET",19,309,5.3,0.427,0.608,0.152,1.3,8.9,4.9,18.7,1.3,0.3,22.9,15.1,0.0,-0.3,0.1,-0.3,-0.042,0.0,-3.8,-2.4,-6.3,-0.3
"57","Bismack Biyombo","C",21,"CHA",77,1072,13.3,0.606,0,0.618,11,27.6,19.3,1.1,0.3,6.3,17.9,9.6,0.0,1.1,2.1,3.2,0.144,0.0,-4.7,2.2,-2.5,-0.1
"58","DeJuan Blair","PF",24,"DAL",78,1214,17.3,0.557,0.005,0.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,0.0,1.8,1.5,3.4,0.133,0.0,-0.2,0.8,0.6,0.8
"59","Steve Blake","PG",33,"LAL",27,891,12.1,0.515,0.562,0.15,1,11.4,6.2,33,1.9,0.2,22.2,15.7,0.0,0.4,0.3,0.8,0.041,0.0,-0.3,-1.3,-1.6,0.1
"60","Steve Blake","PG",33,"GSW",28,607,9.4,0.494,0.658,0.067,0.9,9,5,22.7,1.6,0.7,20.1,11.2,0.0,0.3,0.7,1.1,0.084,0.0,-1.8,0.2,-1.6,0.1
"61","Andray Blatche","PF",27,"BRK",73,1618,18.8,0.532,0.08,0.328,8.9,19.9,14.4,12.8,2.4,2,12.5,25.6,0.0,1.6,2.1,3.7,0.109,0.0,-0.6,0.7,0.1,0.8
"62","Eric Bledsoe","PG",24,"PHO",43,1416,19.6,0.578,0.252,0.426,2.1,13.8,8,27,2.4,0.8,17.8,24.9,0.0,2.6,1.6,4.1,0.14,0.0,2.3,0.6,2.9,1.8
"63","Vander Blue","SG",21,"BOS",3,15,0.5,0.403,0.25,1.25,0,23.4,11.4,10.7,0,0,24.4,24.3,0.0,-0.1,0,-0.1,-0.214,0.0,-10.9,-3.1,-13.9,0
"64","Keith Bogans","SG",33,"BOS",6,55,9.9,0.82,1,0.5,0,6.4,3.1,7.7,0.9,0,12,6.7,0.0,0.1,0,0.1,0.121,0.0,0.1,-2.2,-2.1,0
"65","Andrew Bogut","C",29,"GSW",67,1769,17,0.61,0,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,0.0,2.4,4,6.5,0.176,0.0,-1.2,5.6,4.4,2.8
"66","Matt Bonner","PF",33,"SAS",61,690,11.2,0.582,0.598,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.0,0.8,1,1.8,0.123,0.0,-0.4,0.7,0.3,0.4
"67","Trevor Booker","PF",26,"WAS",72,1553,15,0.563,0.005,0.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,0.0,2.3,2,4.3,0.132,0.0,-1.1,1.3,0.2,0.8
"68","Carlos Boozer","PF",32,"CHI",76,2141,14.4,0.489,0.002,0.197,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,0.0,-0.9,4.3,3.4,0.076,0.0,-4,0.6,-3.4,-0.7
"69","Chris Bosh","C",29,"MIA",79,2531,19,0.597,0.229,0.285,5.1,20.3,13,5.8,1.7,2.7,10.4,22.6,0.0,4.6,3.4,8,0.152,0.0,0.5,0,0.5,1.6
