"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Shareef Abdur-Rahim","PF",31,"SAC",6,51,5.5,0.317,0,0.286,14.2,9.1,11.6,11.1,1,0,6,14.7,0.0,0,0,0,-0.005,0.0,-3.6,-2.1,-5.7,0
"2","Arron Afflalo","SG",22,"DET",75,970,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,0.0,0.5,1.4,1.9,0.092,0.0,-2.3,0.6,-1.6,0.1
"3","Maurice Ager","SG",23,"DAL",12,77,-4.4,0.253,0.296,0.222,1.6,4.4,3,7.4,0,1,9.2,19.8,0.0,-0.3,0,-0.3,-0.181,0.0,-9.6,-3.5,-13.1,-0.2
"4","Maurice Ager","SG",23,"NJN",14,88,7.1,0.443,0.289,0.158,3.9,7.9,5.9,8.4,0,0,6.9,22.7,0.0,-0.1,0,-0.1,-0.056,0.0,-4.4,-5.4,-9.8,-0.2
"5","Blake Ahearn","PG",23,"MIA",12,177,9,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0,18.5,23.2,0.0,-0.1,0.1,0,-0.006,0.0,-2.8,-2.8,-5.6,-0.2
"6","LaMarcus Aldridge","PF",22,"POR",76,2649,18.5,0.523,0.006,0.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,0.0,3.5,2.8,6.2,0.113,0.0,0.1,0.7,0.8,1.8
"7","Malik Allen","PF",29,"NJN",48,763,10.1,0.489,0.008,0.05,6.4,13.1,9.7,6.8,1,2.1,10.7,17.9,0.0,-0.2,0.5,0.4,0.023,0.0,-4.3,-0.9,-5.1,-0.6
"8","Malik Allen","PF",29,"DAL",25,333,9.1,0.54,0,0.182,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,0.0,0.3,0.4,0.7,0.096,0.0,-2.2,1,-1.1,0.1
"9","Ray Allen","SG",32,"BOS",73,2624,16.4,0.584,0.458,0.24,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,0.0,5.6,4.1,9.7,0.177,0.0,3.2,-0.1,3.1,3.4
"10","Tony Allen","SG",26,"BOS",75,1373,10.7,0.527,0.147,0.465,3.1,11,7.3,13.1,2.4,1.3,18.9,19.6,0.0,-0.1,2.8,2.7,0.093,0.0,-3.2,1.8,-1.4,0.2
