"","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Alex Acker","SG",26,"DET",7,20,16,0.379,0.364,0.182,0,12,5.9,9.1,5.5,3.9,0,28.3,0.0,0,0,0,0.009,0.0,-3.2,1,-2.3,0
"2","Alex Acker","SG",26,"LAC",18,179,9.8,0.46,0.246,0.123,5,9.3,7.1,10.3,0.9,1.2,9.3,19.2,0.0,-0.1,0,0,-0.013,0.0,-3.6,-2.8,-6.4,-0.2
"3","Hassan Adams","SG",24,"TOR",12,52,0.4,0.352,0,0.462,2.3,13.4,7.9,2.8,1,1.5,20.4,17.4,0.0,-0.2,0,-0.2,-0.144,0.0,-10.6,-1.3,-12,-0.1
"4","Arron Afflalo","SG",23,"DET",74,1234,8.9,0.548,0.357,0.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,0.0,0.8,1,1.8,0.069,0.0,-1.7,-0.7,-2.4,-0.1
"5","Maurice Ager","SG",24,"NJN",20,97,2.2,0.365,0.14,0.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,0.0,-0.3,0,-0.3,-0.133,0.0,-8.5,-4.3,-12.8,-0.3
"6","Blake Ahearn","PG",24,"SAS",3,19,12.9,0.581,0.667,0.333,0,6.2,3.1,16,2.9,0,12.7,20.1,0.0,0,0,0.1,0.149,0.0,0.6,-1.8,-1.1,0
"7","Alexis Ajinca","PF",20,"CHA",31,182,7,0.43,0.029,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,0.0,-0.3,0.3,-0.1,-0.018,0.0,-8.1,-1.2,-9.3,-0.3
"8","LaMarcus Aldridge","PF",23,"POR",81,3004,19.1,0.529,0.023,0.269,9.5,15.6,12.5,9.3,1.4,2,8,23.7,0.0,6.1,3.3,9.5,0.151,0.0,1.2,0.7,1.9,3
"9","Joe Alexander","SF",22,"MIL",59,716,10.1,0.494,0.188,0.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,0.0,-0.3,0.7,0.4,0.03,0.0,-3.4,0.2,-3.3,-0.2
"10","Malik Allen","PF",30,"MIL",49,579,7.3,0.435,0.006,0.124,6.8,14.5,10.5,9.5,0.6,1.7,10,15.4,0.0,-0.2,0.5,0.3,0.024,0.0,-4.5,-0.1,-4.6,-0.4
"11","Ray Allen","SG",33,"BOS",79,2876,17.3,0.624,0.467,0.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,0.0,7.4,3.7,11.1,0.186,0.0,4.3,-0.3,3.9,4.3
"12","Tony Allen","SG",27,"BOS",46,887,12.9,0.541,0.095,0.384,3.2,10.7,7.1,12,3.2,2.1,18.8,21.5,0.0,-0.2,1.8,1.6,0.085,0.0,-2.7,2.5,-0.3,0.4
"13","Morris Almond","SG",23,"UTA",25,255,7.3,0.498,0.21,0.321,4.2,12.6,8.4,4.2,0.8,1.2,14.8,19.1,0.0,-0.1,0.2,0.1,0.01,0.0,-4.7,-2.1,-6.8,-0.3
"14","Rafer Alston","PG",32,"HOU",48,1591,12.8,0.484,0.441,0.209,1.9,8.4,5.3,25.9,1.9,0.3,13.4,19.2,0.0,0.9,2.1,2.9,0.088,0.0,0.3,0.1,0.4,1
"15","Rafer Alston","PG",32,"ORL",29,856,15.6,0.509,0.339,0.332,1.1,9.6,5.5,28.9,3.1,0.3,13.2,21.2,0.0,0.8,1.6,2.4,0.135,0.0,0.7,1.4,2.1,0.9
"16","Lou Amundson","PF",26,"PHO",76,1044,13.3,0.53,0.004,0.48,14.9,15.3,15.1,3.7,1.5,4.6,15.6,15.1,0.0,0.8,1,1.8,0.082,0.0,-1.3,0.8,-0.5,0.4
"17","Chris Andersen","C",30,"DEN",71,1460,18.1,0.608,0.034,0.62,13.4,21.6,17.6,3.2,1.4,9.3,15.7,13.4,0.0,2.5,2.8,5.4,0.176,0.0,-1.2,4.6,3.4,2
"18","Ryan Anderson","PF",20,"NJN",66,1312,13.6,0.532,0.464,0.285,9.3,19,14.1,6.4,1.8,1.2,12.1,18.6,0.0,1.3,1.2,2.5,0.09,0.0,-0.1,-1,-1.1,0.3
"19","Carmelo Anthony","SF",24,"DEN",66,2277,19,0.532,0.141,0.388,5.6,17,11.5,18.1,1.7,0.8,12.3,31.5,0.0,2.4,2.6,5,0.105,0.0,0.8,-0.5,0.3,1.3
"20","Joel Anthony","C",26,"MIA",65,1048,9.3,0.521,0,0.39,10.1,12.4,11.2,3.7,1,7.2,22.9,8,0.0,0.4,1.4,1.7,0.079,0.0,-4,4.1,0.2,0.6
"21","Gilbert Arenas","PG",27,"WAS",2,63,18.9,0.433,0.304,0.696,1.8,15.3,8.4,47.8,0,1.3,3.2,22.4,0.0,0.2,0,0.2,0.115,0.0,2.5,-4.1,-1.7,0
"22","Trevor Ariza","SF",23,"LAL",82,1999,15.5,0.544,0.32,0.284,6.4,13.4,10,10.4,3.5,0.9,11.5,16.6,0.0,2.5,3.5,6.1,0.146,0.0,1,2.1,3.1,2.6
"23","Hilton Armstrong","C",24,"NOH",70,1092,10.7,0.585,0.008,0.398,9,12.6,10.8,4.4,1.3,3.5,21.7,16.3,0.0,0.2,1.3,1.5,0.068,0.0,-3.4,1.1,-2.3,-0.1
"24","Darrell Arthur","PF",20,"MEM",76,1464,11.3,0.456,0.005,0.138,8.9,20.3,14.5,5,1.9,2.9,9.2,16.3,0.0,-0.1,1.8,1.7,0.055,0.0,-3.9,0.8,-3.1,-0.4
"25","Chucky Atkins","PG",34,"DEN",14,115,8.9,0.469,0.63,0.148,0,5.9,3,34.9,0.9,0.7,25.8,15,0.0,0,0.1,0,0.019,0.0,-3.6,-5,-8.6,-0.2
"26","Chucky Atkins","PG",34,"OKC",19,297,5.1,0.389,0.465,0.14,1.9,5.1,3.5,15.5,1.4,0.2,12.5,15.5,0.0,-0.3,0.1,-0.2,-0.032,0.0,-4.1,-2.6,-6.6,-0.3
"27","D.J. Augustin","PG",21,"CHA",72,1908,14.9,0.587,0.396,0.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,0.0,3.6,1.5,5.1,0.128,0.0,1.6,-2.3,-0.7,0.6
"28","Kelenna Azubuike","SF",25,"GSW",74,2375,14.7,0.562,0.249,0.271,5.1,11.8,8.5,7.6,1.2,1.5,9.1,18.7,0.0,3.6,0.5,4.1,0.083,0.0,0.9,-1.6,-0.7,0.8
